"Date (AEDT)","IP Address","User ID",Category,Activity
"Tue - 05 Nov 2019 04:19:13",84.160.180.213,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/white-lion-dont-give-up-guitar-pro/"""
"Tue - 05 Nov 2019 04:31:15",66.249.80.70,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/dragonforce-through-the-fire-and-flames-ver-6-tab/"""
"Tue - 05 Nov 2019 04:50:56",205.237.24.7,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/zombie-cabs-eg1300-vintage-30-1x12-impulse-response-bundle/"""
"Tue - 05 Nov 2019 05:05:22",134.59.129.241,Guest,"Page View","Setting views to 189 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 05:06:13",93.220.29.74,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/emigrate-babe-tab/"""
"Tue - 05 Nov 2019 05:12:53",121.146.100.236,Guest,"Page View","Setting views to 6 for ""https://daviesguitars.io/guitar-tab/steelheart-ill-never-let-you-go-chords/"""
"Tue - 05 Nov 2019 05:28:49",68.200.18.203,Guest,"Page View","Setting views to 250 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 05:29:58",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 136 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 05:30:18",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 6 for ""https://daviesguitars.io/metal-guitar-exercises/arpeggios/beginner/"""
"Tue - 05 Nov 2019 05:31:25",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 14 for ""https://daviesguitars.io/artists/"""
"Tue - 05 Nov 2019 05:32:01",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/black-sabbath-the-mob-rules-tab/"""
"Tue - 05 Nov 2019 05:32:16",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/black-sabbath-war-pigs-tab/"""
"Tue - 05 Nov 2019 05:33:04",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 9 for ""https://daviesguitars.io/metal-guitar-exercises/scale-exercises/"""
"Tue - 05 Nov 2019 05:33:36",68.200.18.203,sorry2knaggyou,"Guitar Tabs","Guitar tab activity: Array
(
    [0] => Array
        (
            [id] => 23433
            [play] => Array
                (
                    [count] => 1
                )

            [timestamp] => 1572892416
        )

)
"
"Tue - 05 Nov 2019 05:34:21",88.156.180.106,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/tiamat-too-far-gone-solo-tab/"""
"Tue - 05 Nov 2019 05:34:22",68.200.18.203,sorry2knaggyou,"Guitar Tabs","Guitar tab activity: Array
(
    [0] => Array
        (
            [id] => 23433
            [play] => Array
                (
                    [count] => 1
                )

            [timestamp] => 1572892462
            [pause] => Array
                (
                    [count] => 1
                )

        )

)
"
"Tue - 05 Nov 2019 05:34:35",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 26 for ""https://daviesguitars.io/become-guitar-god/"""
"Tue - 05 Nov 2019 05:34:50",68.200.18.203,sorry2knaggyou,"Page View","Setting views to 10 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
"Tue - 05 Nov 2019 05:38:13",66.102.6.144,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/murderdolls-dressed-to-depress-tab/"""
"Tue - 05 Nov 2019 05:55:24",81.61.88.193,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/ml-sound-lab-freeman-impulse-response-bundle/"""
"Tue - 05 Nov 2019 06:06:11",64.211.69.162,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/in-flames-clayman-ver-2-guitar-pro/"""
"Tue - 05 Nov 2019 06:13:33",75.98.143.178,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/sentenced-mourn-tab/"""
"Tue - 05 Nov 2019 06:22:16",217.214.145.190,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/stl-tones-will-putney-kemper-profile-bundle/"""
"Tue - 05 Nov 2019 06:28:23",66.102.6.144,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/pantera-shattered-ver-2-tab/"""
"Tue - 05 Nov 2019 06:29:48",216.98.49.148,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/linkin-park-easier-to-run-ver-5-tab/"""
"Tue - 05 Nov 2019 06:32:26",37.189.134.12,Guest,"Page View","Setting views to 190 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 06:38:37",109.241.62.39,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/sinmix-laboga-diamond-kemper-profile-bundle/"""
"Tue - 05 Nov 2019 06:44:50",156.57.215.186,Guest,"Page View","Setting views to 251 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 06:52:30",79.20.32.21,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/in-flames-only-for-the-weak-ver-2-tab/"""
"Tue - 05 Nov 2019 06:59:04",99.203.119.83,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/stl-tones-zakk-cervini-producer-kemper-bundle/"""
"Tue - 05 Nov 2019 07:28:30",78.242.211.105,Guest,"Page View","Setting views to 191 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 08:22:03",45.131.30.236,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/breaking-benjamin-give-me-a-sign-ver-2-guitar-pro/"""
"Tue - 05 Nov 2019 08:36:29",24.46.244.136,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/stl-tones-john-feldmann-zakk-cervini-producer-kemper-profile-bundle/"""
"Tue - 05 Nov 2019 08:57:42",75.148.20.137,Guest,"Page View","Setting views to 253 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 08:58:32",75.148.20.137,ilanberman,"Page View","Setting views to 137 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 08:58:38",75.148.20.137,ilanberman,"Page View","Setting views to 138 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 08:58:54",75.148.20.137,ilanberman,"Page View","Setting views to 139 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 08:59:01",75.148.20.137,ilanberman,"Page View","Setting views to 20 for ""https://daviesguitars.io/metal-guitar-exercises/daily-skill-trainer/"""
"Tue - 05 Nov 2019 08:59:18",75.148.20.137,ilanberman,"Page View","Setting views to 27 for ""https://daviesguitars.io/become-guitar-god/"""
"Tue - 05 Nov 2019 08:59:42",75.148.20.137,ilanberman,"Page View","Setting views to 11 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
"Tue - 05 Nov 2019 09:01:42",82.56.152.147,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/nightwish-dead-boys-poem-chords/"""
"Tue - 05 Nov 2019 09:25:16",66.102.8.129,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/thousand-foot-krutch-phenomenon-chords/"""
"Tue - 05 Nov 2019 09:32:47",86.0.51.16,Guest,"Page View","Setting views to 254 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 09:32:56",86.0.51.16,Guest,"Page View","Setting views to 6 for ""https://daviesguitars.io/explore/guitar-tone/celestion-classic-lead-80-1x12-closed-impulse-response/"""
"Tue - 05 Nov 2019 09:32:57",86.0.51.16,Guest,"Page View","Setting views to 18 for ""https://daviesguitars.io/explore/guitar-tone/axp-flextron-guitar-amp-vst/"""
"Tue - 05 Nov 2019 09:32:59",86.0.51.16,Guest,"Page View","Setting views to 6 for ""https://daviesguitars.io/explore/guitar-tone/tse-audio-808-tube-screamer-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 09:33:08",86.0.51.16,Guest,"Page View","Setting views to 21 for ""https://daviesguitars.io/metal-guitar-exercises/daily-skill-trainer/"""
"Tue - 05 Nov 2019 09:33:11",86.0.51.16,Guest,"Page View","Setting views to 21 for ""https://daviesguitars.io/metal-guitar-exercises/"""
"Tue - 05 Nov 2019 09:34:29",86.0.51.16,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/fretted-synth-gcbs4-guitar-synth-vst/"""
"Tue - 05 Nov 2019 09:34:43",86.0.51.16,Guest,"Page View","Setting views to 3 for ""https://daviesguitars.io/explore/guitar-tone/distorque-rangebastard-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 09:34:51",86.0.51.16,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/musical-entropy-guitar-gadgets-pedal-vst/"""
"Tue - 05 Nov 2019 09:36:30",31.133.84.114,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/type-o-negative-in-praise-of-bacchus-tab/"""
"Tue - 05 Nov 2019 09:55:00",85.241.115.132,Guest,"Page View","Setting views to 192 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:02:52",85.241.115.132,Guest,"Page View","Setting views to 193 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:03:35",85.241.115.132,Guest,"Page View","Setting views to 194 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:03:50",85.241.115.132,Guest,"Page View","Setting views to 195 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:05:40",85.241.115.132,Guest,"Page View","Setting views to 196 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:07:15",85.241.115.132,Guest,"Page View","Setting views to 197 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:09:24",73.131.12.58,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/reampzone-marshall-jcm-900-mkiii-2100-kemper-profile-bundle/"""
"Tue - 05 Nov 2019 10:18:55",184.54.100.26,Guest,"Page View","Setting views to 255 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 10:19:10",184.54.100.26,Guest,"Page View","Setting views to 198 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:19:16",122.199.61.52,Guest,"Page View","Setting views to 140 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 10:20:29",122.199.61.52,Guest,"Page View","Setting views to 142 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 10:20:30",184.54.100.26,Guest,"Page View","Setting views to 199 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:21:27",184.54.100.26,Guest,"Page View","Setting views to 8 for ""https://daviesguitars.io/free-online-metronome-guitar/"""
"Tue - 05 Nov 2019 10:22:17",184.54.100.26,Guest,"Page View","Setting views to 19 for ""https://daviesguitars.io/explore/guitar-tone/axp-flextron-guitar-amp-vst/"""
"Tue - 05 Nov 2019 10:23:12",184.54.100.26,Guest,"Page View","Setting views to 20 for ""https://daviesguitars.io/explore/guitar-tone/axp-flextron-guitar-amp-vst/"""
"Tue - 05 Nov 2019 10:23:53",162.210.27.92,Guest,"Page View","Setting views to 256 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 10:25:00",184.54.100.26,Guest,"Page View","Setting views to 7 for ""https://daviesguitars.io/explore/guitar-tone/tse-audio-808-tube-screamer-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:25:24",184.54.100.26,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/auraplug-whamdrive-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:25:34",184.54.100.26,Guest,"Page View","Setting views to 4 for ""https://daviesguitars.io/explore/guitar-tone/distorque-rangebastard-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:25:40",184.54.100.26,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/ignite-amps-profet-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:25:44",184.54.100.26,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/fretted-synth-gcbs4-guitar-synth-vst/"""
"Tue - 05 Nov 2019 10:25:58",184.54.100.26,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/musical-entropy-guitar-gadgets-pedal-vst/"""
"Tue - 05 Nov 2019 10:26:04",184.54.100.26,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/tse-r47-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:26:30",184.54.100.26,Guest,"Page View","Setting views to 3 for ""https://daviesguitars.io/explore/guitar-tone/auraplug-whamdrive-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:27:11",184.54.100.26,Guest,"Page View","Setting views to 4 for ""https://daviesguitars.io/explore/guitar-tone/auraplug-whamdrive-distortion-pedal-vst/"""
"Tue - 05 Nov 2019 10:27:30",122.199.61.52,Guest,"Page View","Setting views to 28 for ""https://daviesguitars.io/become-guitar-god/"""
"Tue - 05 Nov 2019 10:28:04",122.199.61.52,Guest,"Page View","Setting views to 12 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
"Tue - 05 Nov 2019 10:32:20",71.236.198.212,Guest,"Page View","Setting views to 257 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 10:32:55",73.129.186.184,Guest,"Page View","Setting views to 258 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 10:33:38",73.129.186.184,Guest,"Page View","Setting views to 143 for ""https://daviesguitars.io/my-account/"""
"Tue - 05 Nov 2019 10:36:29",71.236.198.212,Guest,"Page View","Setting views to 61 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Tue - 05 Nov 2019 10:36:37",71.236.198.212,Guest,"Page View","Setting views to 200 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 10:55:37",84.202.197.151,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/in-flames-the-jesters-dance-tab/"""
"Tue - 05 Nov 2019 11:45:39",68.201.8.46,Guest,"Page View","Setting views to 260 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 11:45:52",68.201.8.46,Guest,"Page View","Setting views to 201 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 12:12:16",76.169.208.231,Guest,"Page View","Setting views to 202 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 12:15:16",76.169.208.231,Guest,"Page View","Setting views to 203 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 12:27:33",110.54.242.195,Guest,"Page View","Setting views to 204 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 12:52:27",99.203.118.43,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/stl-tones-zakk-cervini-producer-kemper-bundle/"""
"Tue - 05 Nov 2019 13:18:22",31.124.71.75,Guest,"Page View","Setting views to 261 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 13:42:35",70.162.24.2,Guest,"Page View","Setting views to 205 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 13:42:56",70.162.24.2,Guest,"Page View","Setting views to 6 for ""https://daviesguitars.io/free-online-guitar-tuner/"""
"Tue - 05 Nov 2019 13:54:16",45.45.20.22,Guest,"Page View","Setting views to 206 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 14:01:01",99.44.14.250,"angelle sambre","Page View","Setting views to 15 for ""https://daviesguitars.io/artists/"""
"Tue - 05 Nov 2019 14:01:08",99.44.14.250,"angelle sambre","Page View","Setting views to 5 for ""https://daviesguitars.io/explore/guitar-tone/chop-tones-bogie-tc50-amp-pack-axe-fx-tone-bundle/"""
"Tue - 05 Nov 2019 14:15:48",75.102.130.39,Guest,"Page View","Setting views to 207 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 14:30:48",107.77.245.2,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/fear-factory-replica-tab/"""
"Tue - 05 Nov 2019 14:34:14",122.199.61.52,Guest,"Page View","Setting views to 16 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
"Tue - 05 Nov 2019 14:44:25",122.199.61.52,Guest,"Page View","Setting views to 17 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
